dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,Date,Sr. No,Location,CtN,CtE,CtRdRp,PCR_Result
19186,2471,711,2,8/1/2022,1121,"Bus Depot (main), Kothrud",25.27,30.09,29.46,Positive
18012,4029,688,1,9/1/2022,1213,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
18012,4029,688,1,9/1/2022,1214,"Shastri Nagar, Pimpri",29.6,36.02,32.51,Positive
18012,4029,688,1,9/1/2022,1215,"Kasarwadi, Pimple gurav road",32.68,35.49,34.41,Positive
18012,4029,688,1,9/1/2022,1216,"60/feet road, Pimple Gurav",28.84,33.29,31.23,Positive
18012,4029,688,1,9/1/2022,1217,Dapodi/Sangvi,0,0,0,Negative
14983,3459,1104,1,11/1/2022,1379,"Mahalunge Road, Baner",0,0,0,Negative
14983,3459,1104,1,11/1/2022,1380,"Balewadi Phata, Baner",0,0,35.39,Negative
14983,3459,1104,1,11/1/2022,1381,Aundh,0,0,0,Negative
14983,3459,1104,1,11/1/2022,1382,"  Someshwarwadi, Pashan",0,0,0,Negative
14983,3459,1104,1,11/1/2022,1383," Jai Bhavani Nagar, Pashan",0,0,0,Negative
14983,3459,1104,1,11/1/2022,1384,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
20801,4857,1805,1,12/1/2022,1489,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
20801,4857,1805,1,12/1/2022,1490,"Shastri Nagar, Pimpri",0,0,0,Negative
20801,4857,1805,1,12/1/2022,1491,"Kasarwadi, Pimple gurav road",0,0,0,Negative
20801,4857,1805,1,12/1/2022,1492,"60/feet road, Pimple Gurav",0,39.56,0,Negative
20801,4857,1805,1,12/1/2022,1493,Dapodi/Sangvi,0,40.54,0,Negative
11129,2846,5521,7,2/2/2022,434,"Dattawadi, Rajaram Bridge",30,34.66,33.45,Positive
11129,2846,5521,7,2/2/2022,435,"Vitthalwadi/Hingne Shantinagar,",28.76,34.07,32.74,Positive
11129,2846,5521,7,2/2/2022,436,"Kasba Peth, Juna Bazaar, Shivajinagar",30.12,34.71,33.33,Positive
11129,2846,5521,7,2/2/2022,437,"Old bund garden, Yerwada",32.84,35.73,34.88,Positive
11129,2846,5521,7,2/2/2022,438,"Shantinagar, Vishrantwadi",29.38,34.36,33.36,Positive
11129,2846,5521,7,2/2/2022,439,"RTO Office, Alandi road, Yerwada",30.57,35.46,34.18,Positive
10536,2141,4136,9,3/2/2022,546,"Shantinagar, Vishrantwadi",0,0,0,Negative
10536,2141,4136,9,3/2/2022,547,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
10536,2141,4136,9,3/2/2022,548,"Old bund garden, Yerwada",0,0,0,Negative
10536,2141,4136,9,3/2/2022,549,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
10536,2141,4136,9,3/2/2022,550,"Dattawadi, Rajaram Bridge",0,0,0,Negative
10536,2141,4136,9,3/2/2022,551,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
8833,1490,5410,9,5/2/2022,776,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
8833,1490,5410,9,5/2/2022,777,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
8833,1490,5410,9,5/2/2022,778,Kothrud Sanjeevan hospital,0,0,0,Negative
8833,1490,5410,9,5/2/2022,779,Kothrud Karve road,0,0,0,Negative
8833,1490,5410,9,5/2/2022,780,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
8833,1490,5410,9,5/2/2022,781,"Bus Depot (main), Kothrud",0,0,0,Negative
7215,1434,3896,9,6/2/2022,899,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
7215,1434,3896,9,6/2/2022,900,"Shastri Nagar, Pimpri",0,0,0,Negative
7215,1434,3896,9,6/2/2022,901,"Kasarwadi, Pimple gurav road",0,0,0,Negative
7215,1434,3896,9,6/2/2022,902,"60/feet road, Pimple Gurav",0,0,0,Negative
7215,1434,3896,9,6/2/2022,903,Dapodi/Sangvi,0,0,0,Negative
5048,964,2075,5,8/2/2022,1122,"Mahalunge Road, Baner",0,0,0,Negative
5048,964,2075,5,8/2/2022,1123,"Balewadi Phata, Baner",28.16,33.59,32.37,Positive
5048,964,2075,5,8/2/2022,1124,Aundh,0,0,0,Negative
5048,964,2075,5,8/2/2022,1125,"  Someshwarwadi, Pashan",0,0,0,Negative
5048,964,2075,5,8/2/2022,1126," Jai Bhavani Nagar, Pashan",0,0,0,Negative
5048,964,2075,5,8/2/2022,1127,"DP road, Botanical Garden, Aundh,",28.57,35.91,32.16,Positive
7373,1171,2846,8,9/2/2022,1218,"Rahatani, New DP road",37.36,0,37.04,Negative
7373,1171,2846,8,9/2/2022,1219,"Dapodi, Sai service",34.46,0,36.61,Negative
7373,1171,2846,8,9/2/2022,1220,Dapodi Harris Bridge,0,0,0,Negative
6448,700,2197,2,11/2/2022,1385," Dattawadi, Rajaram Bridge",0,0,36.43,Negative
6448,700,2197,2,11/2/2022,1386,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
6448,700,2197,2,11/2/2022,1387," Kasba Peth, Juna Bazaar, Shivajinagar",34.06,38.26,32.38,Positive
6448,700,2197,2,11/2/2022,1388,"Shantinagar, Vishrantwadi",0,0,35.23,Negative
5451,535,1490,3,12/2/2022,1494,"Rahatani, New DP road",0,36.98,0,Negative
5451,535,1490,3,12/2/2022,1495,"Wolf Colony, Pimpri",0,0,0,Negative
5451,535,1490,3,12/2/2022,1496,"Dapodi, Sai service",0,0,0,Negative
5451,535,1490,3,12/2/2022,1497,Dapodi Harris Bridge,0,0,0,Negative
2271,120,199,0,1/3/2022,311,"Shivajinagar, Vaidhwadi Nala catchment",33.2,35.7,34.4,Positive
2271,120,199,0,1/3/2022,312,"Shivajinagar, Chaturshrungi Nala Catchment	",35.5,36.8,35.2,Positive
2271,120,199,0,1/3/2022,313,Kothrud Sanjeevan hospital,0,0,0,Negative
2271,120,199,0,1/3/2022,314,Kothrud Karve road,35.9,36.8,35.8,Positive
2271,120,199,0,1/3/2022,315,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
2271,120,199,0,1/3/2022,316,"Bus Depot (main), Kothrud",0,0,0,Negative
2778,65,188,0,2/3/2022,440,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
2778,65,188,0,2/3/2022,441,"Shastri Nagar, Pimpri",29.21,33.77,32.4,Positive
2778,65,188,0,2/3/2022,442,"Kasarwadi, Pimple gurav road",30.38,34.98,33,Positive
2778,65,188,0,2/3/2022,443,"60/feet road, Pimple Gurav",29.59,34.06,32.95,Positive
2778,65,188,0,2/3/2022,444,Dapodi/Sangvi,32.11,36.4,35.29,Positive
2969,78,215,1,3/3/2022,552,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
2969,78,215,1,3/3/2022,553,"Shastri Nagar, Pimpri",0,0,0,Negative
2969,78,215,1,3/3/2022,554,"Kasarwadi, Pimple gurav road",0,0,0,Negative
2969,78,215,1,3/3/2022,555,"60/feet road, Pimple Gurav",0,0,0,Negative
2969,78,215,1,3/3/2022,556,Dapodi/Sangvi,0,0,0,Negative
2703,99,129,0,6/3/2022,904,"Rahatani, New DP road",0,0,0,Negative
2703,99,129,0,6/3/2022,905,"Kalewadi, Adarsh Nagar",0,0,0,Negative
2703,99,129,0,6/3/2022,906,"Wolf Colony, Pimpri",0,0,0,Negative
2703,99,129,0,6/3/2022,907,"Dapodi, Sai service",0,0,0,Negative
2703,99,129,0,6/3/2022,908,Dapodi Harris Bridge,0,0,0,Negative
2604,137,120,0,8/3/2022,1128," Dattawadi, Rajaram Bridge",30.75,35.52,34.12,Positive
2604,137,120,0,8/3/2022,1129,"Vitthalwadi/Hingne Shantinagar,",29.96,33.32,34.25,Positive
2604,137,120,0,8/3/2022,1130," Kasba Peth, Juna Bazaar, Shivajinagar",29.8,34.13,33.43,Positive
2604,137,120,0,8/3/2022,1131,"RTO Office, Alandi road, Yerwada",30.7,34.97,33.8,Positive
2604,137,120,0,8/3/2022,1132,"Shantinagar, Vishrantwadi",30.09,35.42,33.64,Positive
2245,116,78,0,10/3/2022,1307,"Shivajinagar, Vaidhwadi Nala catchment",40.77,0,0,Negative
2245,116,78,0,10/3/2022,1308,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
2245,116,78,0,10/3/2022,1309,Kothrud Sanjeevan hospital,0,0,0,Negative
2245,116,78,0,10/3/2022,1310,Kothrud Karve road,0,0,0,Negative
2245,116,78,0,10/3/2022,1311,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",34.81,0,33.45,Positive
2245,116,78,0,10/3/2022,1312,"Bus Depot (main), Kothrud",0,0,0,Negative
2679,41,120,0,11/3/2022,1389,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
2679,41,120,0,11/3/2022,1390,"Shastri Nagar, Pimpri",0,0,39.47,Negative
2679,41,120,0,11/3/2022,1391,"Kasarwadi, Pimple gurav road",0,0,0,Negative
2679,41,120,0,11/3/2022,1392,"60/feet road, Pimple Gurav",0,0,0,Negative
2679,41,120,0,11/3/2022,1393,Dapodi/Sangvi,0,0,40,Negative
1892,32,15,0,1/4/2022,317,"Dattawadi, Rajaram Bridge",33.9,36.4,34.4,Positive
1892,32,15,0,1/4/2022,318,Vitthalwadi/Hingne ,34.3,36.8,34.9,Positive
1892,32,15,0,1/4/2022,319,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1892,32,15,0,1/4/2022,320,"Old bund garden, Yerwada",0,0,0,Negative
1892,32,15,0,1/4/2022,321,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1892,32,15,0,1/4/2022,322,"Shantinagar, Vishrantwadi",36.8,36.8,36.25,Positive
